Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Precipitationmm
2013-01-01,8,3,-2,23,6,0.25
2013-01-02,6,3,-1,19,10,0
2013-01-03,6,2,-3,14,6,2.03
2013-01-04,9,7,4,16,6,0.25
2013-01-05,7,6,5,24,13,0.76
2013-01-06,7,6,5,21,10,0
2013-01-07,8,4,1,16,8,0
2013-01-08,5,3,1,18,5,0
2013-01-09,3,1,0,19,5,0
2013-01-10,5,2,0,16,6,0.25
2013-01-11,3,1,-1,16,10,0.25
2013-01-12,-2,-2,-3,11,5,0.51
2013-01-13,-1,-2,-4,11,6,0
2013-01-14,-1,-2,-3,19,6,0
2013-01-15,1,-2,-4,14,6,0
2013-01-16,-2,-3,-4,21,8,0.25
2013-01-17,-3,-4,-4,19,14,0.51
2013-01-18,-2,-3,-4,14,10,0
2013-01-19,-2,-3,-5,18,11,0
2013-01-20,-2,-3,-5,18,10,1.02
2013-01-21,1,-2,-4,8,3,1.02
2013-01-22,2,0,-2,11,5,0
2013-01-23,3,-1,-4,14,5,0
2013-01-24,-1,-3,-4,18,10,0
2013-01-25,-3,-3,-4,11,8,0
2013-01-26,-1,-4,-6,13,8,0
2013-01-27,4,0,-5,14,6,0
2013-01-28,7,4,1,14,6,0
2013-01-29,9,6,3,32,19,1.02
2013-01-30,15,11,7,39,21,1.02
2013-01-31,10,7,4,34,19,0
2013-02-01,9,7,5,21,11,10.92
2013-02-02,4,1,-1,35,16,0.51
2013-02-03,3,1,-2,27,14,0
2013-02-04,6,3,0,35,23,3.05
2013-02-05,7,3,0,45,14,2.03
2013-02-06,1,0,-1,21,11,2.03
2013-02-07,1,0,-2,23,14,0.51
2013-02-08,1,-1,-2,21,8,0.25
2013-02-09,-1,-4,-7,18,10,2.03
2013-02-10,-2,-7,-12,14,5,0
2013-02-11,-1,-5,-9,16,10,0
2013-02-12,-2,-3,-4,14,10,0
2013-02-13,1,-2,-5,14,5,0
2013-02-14,1,-4,-9,11,5,0
2013-02-15,1,-1,-2,8,3,3.05
2013-02-16,4,2,0,10,3,1.02
2013-02-17,3,2,0,14,5,0
2013-02-18,3,1,-3,14,6,0
