Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Precipitationmm
2013-01-01,8,6,4,29,23,6.1
2013-01-02,7,5,3,27,21,0.51
2013-01-03,11,8,6,32,23,1.02
2013-01-04,10,8,7,35,24,0
2013-01-05,8,7,7,29,23,0
2013-01-06,8,7,6,29,18,0.51
2013-01-07,8,7,5,18,11,0
2013-01-08,8,7,6,21,14,5.08
2013-01-09,8,6,3,23,16,5.08
2013-01-10,5,3,1,27,16,0
2013-01-11,1,-2,-4,19,11,0
2013-01-12,1,-2,-6,13,5,0
2013-01-13,-1,-3,-5,19,10,0
2013-01-14,-3,-4,-7,19,13,0
2013-01-15,-3,-7,-11,14,8,0
2013-01-16,-4,-6,-7,14,11,0
2013-01-17,-1,-3,-5,14,11,0
2013-01-18,-1,-2,-3,27,14,0
2013-01-19,-3,-4,-6,34,24,0
2013-01-20,-2,-6,-9,32,23,0
2013-01-21,-3,-4,-6,34,26,0.51
2013-01-22,-5,-6,-7,24,19,0.25
2013-01-23,-2,-4,-7,14,11,0
2013-01-24,-2,-2,-4,21,14,0
2013-01-25,-6,-9,-13,21,8,0
2013-01-26,0,-6,-11,27,16,0.25
2013-01-27,4,1,-2,34,19,4.06
2013-01-28,4,2,1,34,16,1.02
2013-01-29,11,7,2,35,24,2.03
2013-01-30,12,9,7,48,29,7.87
2013-01-31,8,7,6,50,42,0.25
2013-02-01,7,4,2,40,26,5.08
2013-02-02,4,3,2,34,16,0.25
2013-02-03,6,3,1,34,21,3.05
2013-02-04,9,6,2,47,24,2.03
2013-02-05,5,2,0,34,24,8.89
2013-02-06,4,1,-3,19,10,0.51
2013-02-07,3,1,-1,23,13,0.25
2013-02-08,1,-1,-2,14,10,0
2013-02-09,1,-2,-6,14,8,1.02
2013-02-10,1,-3,-7,21,10,0
2013-02-11,1,-2,-5,35,24,0
2013-02-12,2,0,-2,24,18,0
2013-02-13,1,-1,-3,14,10,0
2013-02-14,1,-2,-5,32,16,0
2013-02-15,2,0,-2,19,13,0.25
2013-02-16,3,2,1,10,5,0
2013-02-17,3,2,1,8,5,0
2013-02-18,3,1,-1,13,6,0
2013-02-19,3,1,-1,24,14,0.51
2013-02-20,1,0,-2,23,14,0
2013-02-21,1,-1,-2,24,16,0
2013-02-22,-1,-2,-3,29,18,0
2013-02-23,1,-2,-4,34,19,0
2013-02-24,2,1,-1,26,21,1.02
2013-02-25,3,2,1,23,16,0
2013-02-26,2,1,1,21,16,0
2013-02-27,4,1,-2,19,11,0
2013-02-28,3,-1,-5,14,6,0
2013-03-01,3,1,-3,26,16,0
2013-03-02,3,-2,-7,23,8,0
2013-03-03,7,2,-2,26,18,0
2013-03-04,9,2,-4,21,8,0
2013-03-05,12,6,-1,14,10,0
2013-03-06,14,6,-3,19,8,0
2013-03-07,10,6,2,34,19,0
2013-03-08,4,2,1,35,27,0.76
2013-03-09,1,0,0,29,24,5.08
2013-03-10,-2,-2,-3,29,24,0
2013-03-11,-2,-3,-5,29,21,0
2013-03-12,-2,-6,-9,21,16,0
2013-03-13,1,-6,-12,16,6,0.25
2013-03-14,-1,-4,-9,24,10,0
2013-03-15,1,-4,-11,21,8,0
2013-03-16,6,2,-1,27,19,0.25
2013-03-17,2,0,-1,37,26,0.25
2013-03-18,4,2,-1,32,26,0
2013-03-19,2,0,-2,21,14,0
2013-03-20,1,-1,-2,24,16,0
2013-03-21,3,0,-2,21,11,0
2013-03-22,2,-1,-4,39,18,0
2013-03-23,-1,-3,-6,42,32,0
2013-03-24,2,-2,-7,42,31,0
2013-03-25,3,-1,-4,45,31,0
2013-03-26,4,0,-4,35,24,0
2013-03-27,6,0,-5,32,21,0
2013-03-28,1,-1,-3,21,18,0
2013-03-29,2,0,-2,14,11,0
2013-03-30,3,1,-1,23,8,0
2013-03-31,5,2,-2,23,11,0
2013-04-01,8,1,-7,26,10,0
2013-04-02,8,1,-6,29,11,0
2013-04-03,7,2,-3,34,18,0
2013-04-04,7,2,-2,29,21,0
2013-04-05,3,1,-1,21,16,0
2013-04-06,9,4,-1,21,14,0
2013-04-07,9,3,-3,16,10,0
2013-04-08,11,3,-3,29,13,0
2013-04-09,8,4,2,27,23,2.03
2013-04-10,10,7,4,19,14,1.02
2013-04-11,11,6,0,23,10,5.08
2013-04-12,14,10,6,24,14,2.03
2013-04-13,12,9,6,34,18,0
2013-04-14,17,11,5,21,13,0
2013-04-15,22,16,10,24,13,0.51
2013-04-16,19,13,7,29,10,0
2013-04-17,18,12,7,23,13,0
2013-04-18,18,14,10,47,23,0
2013-04-19,13,9,4,32,21,0.25
2013-04-20,11,4,-2,21,13,0
2013-04-21,16,8,1,21,10,0
2013-04-22,16,12,8,19,10,0
2013-04-23,14,10,6,29,18,0
2013-04-24,21,12,3,24,10,0
2013-04-25,21,16,11,16,10,0
2013-04-26,11,8,5,23,10,8.89
2013-04-27,10,7,4,23,16,0
2013-04-28,12,6,-1,14,10,0
2013-04-29,12,8,4,35,16,0
2013-04-30,14,8,2,24,11,0
2013-05-01,17,9,1,19,13,0
2013-05-02,16,12,7,24,14,0
2013-05-03,18,13,9,19,13,0
2013-05-04,21,13,6,29,10,0
2013-05-05,20,12,4,19,8,0
2013-05-06,23,14,6,21,8,0
2013-05-07,21,14,8,29,11,1.02
2013-05-08,21,17,13,27,11,0.76
2013-05-09,19,16,11,26,13,0
2013-05-10,16,11,7,34,13,0.25
2013-05-11,16,11,7,34,14,1.02
2013-05-12,13,10,8,26,14,4.06
2013-05-13,14,10,6,23,13,0.51
2013-05-14,14,11,7,32,14,0
2013-05-15,23,16,9,26,14,0.51
2013-05-16,21,15,9,24,10,0
2013-05-17,16,14,12,23,11,22.1
2013-05-18,12,11,10,21,13,5.08
2013-05-19,14,11,7,11,5,0
2013-05-20,14,12,11,11,6,2.03
2013-05-21,16,13,10,19,10,4.06
2013-05-22,11,8,5,40,27,0
2013-05-23,9,6,3,19,13,8.89
2013-05-24,12,8,4,14,6,0
2013-05-25,12,8,4,27,14,7.11
2013-05-26,13,11,8,37,23,2.03
2013-05-27,12,10,8,27,18,7.87
2013-05-28,20,14,8,21,5,1.02
2013-05-29,17,14,11,21,11,2.03
2013-05-30,18,14,11,23,10,0.25
2013-05-31,22,17,13,34,21,0
2013-06-01,12,11,10,34,24,0
2013-06-02,14,11,8,37,27,0
2013-06-03,15,11,6,32,19,0
2013-06-04,21,14,8,24,14,0
2013-06-05,22,15,8,19,10,0
2013-06-06,23,16,9,19,8,0
2013-06-07,24,17,11,21,11,0
2013-06-08,21,16,12,26,14,0
2013-06-09,19,14,11,23,14,0
2013-06-10,20,12,5,19,11,0
2013-06-11,20,13,7,14,8,0
2013-06-12,24,17,9,29,11,0
2013-06-13,22,17,12,26,13,3.05
2013-06-14,18,15,12,29,19,0
2013-06-15,21,15,9,34,14,2.03
2013-06-16,20,14,9,27,16,0
2013-06-17,24,17,10,19,10,0
2013-06-18,28,21,14,16,11,0
2013-06-19,28,23,19,35,13,0.76
2013-06-20,27,22,16,26,8,32
2013-06-21,19,18,15,32,13,7.11
2013-06-22,22,18,14,29,16,0
2013-06-23,19,16,13,35,19,0.51
2013-06-24,18,14,12,26,14,1.02
2013-06-25,15,13,12,32,16,0
2013-06-26,16,13,9,34,21,0
2013-06-27,14,11,8,26,13,0.76
2013-06-28,14,12,9,21,13,1.02
2013-06-29,16,12,8,34,16,0.51
2013-06-30,17,12,6,24,11,0
2013-07-01,21,17,13,27,13,0
2013-07-02,21,15,9,13,6,0
2013-07-03,24,19,15,19,11,2.03
2013-07-04,22,19,16,16,10,0
2013-07-05,22,18,14,19,10,0
2013-07-06,22,15,8,16,6,0
2013-07-07,25,19,12,19,10,0
2013-07-08,25,19,13,21,11,0
2013-07-09,23,17,9,23,11,0
2013-07-10,17,14,12,27,16,0
2013-07-11,21,16,11,23,14,0
2013-07-12,20,17,13,18,11,0
2013-07-13,21,14,8,19,10,0
