Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Precipitationmm
2013-01-01,7,6,4,34,24,4.06
2013-01-02,7,5,3,32,23,1.02
2013-01-03,10,8,6,34,24,0.76
2013-01-04,9,8,7,35,24,0.25
2013-01-05,8,7,7,35,26,2.03
2013-01-06,8,7,6,26,16,1.02
2013-01-07,8,7,5,26,13,0
2013-01-08,8,7,6,23,14,2.03
2013-01-09,6,6,5,26,16,4.06
2013-01-10,6,3,0,26,16,0
2013-01-11,0,-2,-4,14,11,0
2013-01-12,0,-3,-7,10,5,0
2013-01-13,-2,-4,-6,24,8,0.25
2013-01-14,-3,-4,-6,19,11,0
2013-01-15,-2,-6,-9,21,10,0
2013-01-16,-3,-4,-7,21,13,0.25
2013-01-17,-1,-3,-5,14,10,0
2013-01-18,-2,-3,-4,27,13,0
2013-01-19,-4,-6,-7,32,26,0
2013-01-20,-4,-6,-8,29,24,0
2013-01-21,-3,-4,-6,32,24,2.03
2013-01-22,-6,-7,-7,23,18,0
2013-01-23,-4,-7,-9,14,10,0
2013-01-24,-2,-4,-7,11,6,0
2013-01-25,-4,-8,-12,23,10,0
2013-01-26,0,-6,-11,26,14,0
2013-01-27,4,1,-3,32,18,2.03
2013-01-28,5,3,2,24,14,0
2013-01-29,11,7,2,29,23,0
2013-01-30,13,10,6,55,29,7.11
2013-01-31,8,7,5,42,32,0.76
2013-02-01,7,4,1,37,23,4.06
2013-02-02,3,2,0,29,16,0
2013-02-03,5,2,1,35,18,2.03
2013-02-04,8,4,1,40,21,3.05
2013-02-05,6,3,0,35,26,2.03
2013-02-06,4,1,-2,21,11,0
2013-02-07,2,1,-1,19,13,0
2013-02-08,1,-1,-2,16,10,0
2013-02-09,1,-1,-3,14,10,0
2013-02-10,1,-1,-3,21,10,0
2013-02-11,0,-3,-6,34,23,0
2013-02-12,1,-1,-3,24,16,0
2013-02-13,2,-1,-5,13,6,0
2013-02-14,1,-3,-6,29,11,0
2013-02-15,2,0,-2,16,10,0
2013-02-16,4,2,1,10,5,0.51
2013-02-17,4,2,1,11,8,0
2013-02-18,4,2,0,11,6,0
2013-02-19,2,1,-1,21,13,1.02
2013-02-20,0,-2,-3,21,13,0.25
2013-02-21,-1,-2,-3,21,13,0
2013-02-22,-2,-4,-6,26,13,0
2013-02-23,0,-3,-6,26,16,0
2013-02-24,1,0,-2,18,13,0.51
2013-02-25,2,1,0,21,13,0.76
2013-02-26,2,1,1,19,13,0
2013-02-27,2,1,0,16,11,0.25
2013-02-28,4,2,-1,19,6,0
2013-03-01,3,1,-2,26,14,0
2013-03-02,5,0,-4,21,10,0
2013-03-03,6,2,-2,23,16,0
2013-03-04,8,2,-4,21,8,0
2013-03-05,13,5,-3,16,11,0
2013-03-06,15,6,-3,14,6,0
2013-03-07,8,4,0,27,16,0
2013-03-08,4,2,1,35,24,2.03
2013-03-09,1,1,0,32,24,4.06
2013-03-10,-1,-3,-5,26,18,1.02
2013-03-11,-3,-4,-6,26,14,0
2013-03-12,-2,-5,-8,26,16,0
2013-03-13,0,-6,-12,14,5,0
2013-03-14,0,-3,-7,19,10,0
2013-03-15,1,-4,-9,14,8,0
2013-03-16,7,2,-3,29,16,0
2013-03-17,3,1,-1,39,23,2.03
2013-03-18,6,2,-1,32,23,0
2013-03-19,1,0,-2,16,11,0
2013-03-20,1,-1,-2,23,13,0.51
2013-03-21,2,0,-2,11,6,0.51
2013-03-22,0,-2,-5,35,16,0
2013-03-23,-2,-4,-6,45,34,0
2013-03-24,1,-4,-9,45,32,0
2013-03-25,2,-2,-6,43,32,0
2013-03-26,3,-1,-6,40,23,0
2013-03-27,4,-2,-7,35,18,0
2013-03-28,0,-1,-3,24,16,0
2013-03-29,2,0,-2,14,10,0
2013-03-30,3,0,-2,18,6,0.25
2013-03-31,4,-1,-5,19,10,0.25
2013-04-01,7,0,-7,19,8,0
2013-04-02,6,0,-6,29,14,0
2013-04-03,6,1,-3,34,19,0
2013-04-04,6,2,-2,27,16,0
2013-04-05,3,2,0,24,16,0
2013-04-06,9,4,1,19,11,0
2013-04-07,9,3,-3,16,8,0
2013-04-08,10,3,-3,29,11,0
2013-04-09,8,4,1,26,21,1.02
2013-04-10,11,8,4,21,13,5.08
2013-04-11,13,9,6,24,11,6.1
2013-04-12,14,10,6,26,14,0
2013-04-13,13,10,7,34,19,0
2013-04-14,18,12,7,19,11,0
2013-04-15,24,18,12,32,13,0.25
2013-04-16,20,14,9,27,6,0
2013-04-17,19,15,11,23,11,0
2013-04-18,19,14,11,37,21,0
2013-04-19,13,9,5,26,16,0
2013-04-20,12,6,0,21,11,0
2013-04-21,16,8,1,26,11,0
2013-04-22,15,12,8,16,10,0
2013-04-23,13,11,8,34,16,0
2013-04-24,21,12,4,23,10,0
2013-04-25,22,17,12,14,10,0
2013-04-26,20,13,6,24,10,3.05
2013-04-27,9,7,4,19,14,0.25
2013-04-28,13,6,-1,19,10,0
2013-04-29,14,10,7,32,16,0
2013-04-30,14,9,3,14,8,0
2013-05-01,16,9,2,24,11,0
2013-05-02,16,12,8,23,10,0
2013-05-03,18,12,7,21,13,0
2013-05-04,21,13,5,19,6,0
2013-05-05,21,13,5,14,6,0
2013-05-06,23,15,7,21,8,0
2013-05-07,17,13,10,27,10,2.03
2013-05-08,22,17,12,34,11,0
2013-05-09,20,17,14,24,10,0
2013-05-10,18,13,8,32,11,0
2013-05-11,16,12,8,24,13,4.06
2013-05-12,12,10,8,29,14,1.02
2013-05-13,14,11,7,27,14,0.25
2013-05-14,14,11,7,24,13,0
2013-05-15,23,16,8,24,13,0
2013-05-16,22,17,11,27,8,0
2013-05-17,17,14,11,21,10,7.87
2013-05-18,11,9,8,24,14,4.06
2013-05-19,17,10,3,14,5,0
2013-05-20,14,11,8,19,6,0.51
2013-05-21,16,13,10,14,8,8.89
2013-05-22,11,8,6,35,18,2.03
2013-05-23,9,6,3,18,10,0.76
2013-05-24,11,8,4,18,10,0
2013-05-25,13,9,4,29,11,6.1
2013-05-26,12,9,7,32,18,20.07
2013-05-27,11,10,8,21,13,3.05
2013-05-28,19,14,9,11,5,2.03
2013-05-29,17,13,11,19,8,0
2013-05-30,17,13,10,18,10,1.02
2013-05-31,22,18,13,29,13,2.03
2013-06-01,13,12,10,32,18,0
2013-06-02,14,11,8,32,21,0
2013-06-03,17,11,6,32,14,0
2013-06-04,22,14,6,21,11,0
2013-06-05,21,16,10,21,11,0
2013-06-06,23,16,9,18,8,0
2013-06-07,25,17,9,11,6,0
2013-06-08,24,18,12,14,8,0
2013-06-09,17,13,9,13,8,0
2013-06-10,20,13,7,14,10,0
2013-06-11,21,14,7,14,8,0
2013-06-12,24,17,9,23,8,0
2013-06-13,26,19,12,32,14,4.06
2013-06-14,19,16,11,26,18,0
2013-06-15,22,16,10,55,11,4.06
2013-06-16,20,16,11,32,14,0
2013-06-17,24,17,9,19,11,0
2013-06-18,29,22,15,14,8,0
2013-06-19,33,26,19,23,11,0
2013-06-20,29,23,18,35,13,7.87
2013-06-21,22,19,17,35,13,0
2013-06-22,24,20,16,32,16,0.51
2013-06-23,20,17,13,27,16,0.76
2013-06-24,19,16,13,27,14,0
2013-06-25,16,13,11,29,13,0
2013-06-26,17,13,9,34,21,0
2013-06-27,16,12,9,23,11,0
2013-06-28,14,12,10,21,11,0.25
2013-06-29,16,12,9,29,16,2.03
2013-06-30,16,11,6,23,13,0
2013-07-01,22,18,14,27,14,0
2013-07-02,22,17,12,14,8,0
2013-07-03,24,19,15,26,11,5.08
2013-07-04,23,19,16,21,11,0
2013-07-05,23,19,16,16,10,0
2013-07-06,24,18,11,11,6,0
2013-07-07,26,19,11,13,6,0
2013-07-08,26,19,11,16,6,0
2013-07-09,26,18,10,18,8,0
2013-07-10,19,16,11,29,13,0
2013-07-11,22,16,10,23,11,0
2013-07-12,21,16,10,14,11,0
2013-07-13,21,14,8,19,10,0
2013-07-14,19,16,12,16,11,0
2013-07-15,24,16,8,14,6,0
2013-07-16,25,17,8,11,5,0
2013-07-17,27,19,12,21,5,0
2013-07-18,27,20,12,18,6,0
2013-07-19,24,18,12,27,11,0
2013-07-20,27,21,15,16,10,0
2013-07-21,29,21,12,14,8,0
2013-07-22,32,23,14,11,6,0
2013-07-23,32,23,15,21,8,0
2013-07-24,29,23,17,27,13,0.51
2013-07-25,28,21,14,21,5,0
2013-07-26,28,22,16,13,5,7.87
2013-07-27,31,24,18,14,6,0.51
2013-07-28,28,23,19,26,10,0
2013-07-29,26,21,17,19,5,0
2013-07-30,23,19,14,34,13,1.02
2013-07-31,23,19,16,34,18,0.25
2013-08-01,30,23,17,19,8,0
2013-08-02,34,26,18,18,8,0
2013-08-03,28,24,20,27,11,2.03
2013-08-04,27,22,17,14,8,0
2013-08-05,30,22,14,23,11,0
2013-08-06,26,22,18,27,14,0
2013-08-07,23,18,13,29,11,0
2013-08-08,20,18,15,29,13,0.51
2013-08-09,23,17,9,13,6,0
2013-08-10,24,18,12,27,10,0
2013-08-11,21,17,12,26,14,0
2013-08-12,21,17,13,23,11,8.89
2013-08-13,20,15,10,37,13,2.03
2013-08-14,20,16,11,26,14,0
2013-08-15,23,16,9,16,6,0
2013-08-16,28,21,15,21,8,0
2013-08-17,26,20,14,16,8,0.25
2013-08-18,21,18,16,26,11,0.76
2013-08-19,21,17,13,37,11,4.06
2013-08-20,20,17,13,18,10,0
2013-08-21,23,16,9,10,3,0
2013-08-22,24,18,11,14,6,0
2013-08-23,23,19,15,26,13,0
2013-08-24,25,19,14,35,18,0
2013-08-25,25,19,13,32,19,0
2013-08-26,24,17,11,29,16,0
2013-08-27,21,15,9,29,11,0
2013-08-28,23,17,11,14,6,0
2013-08-29,24,17,8,14,5,0
2013-08-30,24,17,9,19,6,0
2013-08-31,19,14,10,24,10,3.05
2013-09-01,18,13,7,29,14,0
2013-09-02,17,16,14,32,23,0.25
2013-09-03,20,18,16,23,18,0
2013-09-04,24,19,15,19,6,0
2013-09-05,29,21,13,24,16,0
2013-09-06,30,22,13,29,16,0
2013-09-07,27,21,14,19,8,7.11
2013-09-08,18,15,12,26,10,1.02
2013-09-09,17,13,10,32,10,7.11
2013-09-10,13,11,8,29,13,5.08
2013-09-11,15,12,9,16,10,1.02
2013-09-12,17,13,9,13,8,0
2013-09-13,19,14,11,18,8,0.51
2013-09-14,18,14,11,21,10,2.03
2013-09-15,17,14,11,29,16,0.76
2013-09-16,16,11,7,26,16,0.51
2013-09-17,15,11,6,26,14,0.25
2013-09-18,13,11,9,19,13,0
2013-09-19,16,12,8,24,13,0
2013-09-20,17,13,11,24,14,2.03
2013-09-21,17,14,12,16,11,0
2013-09-22,17,14,12,19,10,0
2013-09-23,18,16,13,27,19,0
2013-09-24,17,13,10,18,10,0
