Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Precipitationmm
2013-01-01,7,4,2,43,29,0
2013-01-02,5,3,1,32,19,0
2013-01-03,8,5,2,47,27,0.51
2013-01-04,9,8,7,39,24,0
2013-01-05,8,7,6,34,26,0
2013-01-06,7,6,5,34,18,0.25
2013-01-07,7,6,4,26,14,0
2013-01-08,5,4,4,26,13,2.03
2013-01-09,6,4,3,29,19,0
2013-01-10,3,1,-1,35,23,0.51
2013-01-11,-1,-2,-4,21,14,0
2013-01-12,-1,-4,-7,16,10,0
2013-01-13,-3,-6,-9,21,8,0
2013-01-14,-4,-6,-7,11,6,0.25
2013-01-15,-6,-9,-11,13,8,0
2013-01-16,-4,-6,-8,16,11,2.03
2013-01-17,-2,-4,-6,24,11,3.05
2013-01-18,-5,-6,-7,24,14,0
2013-01-19,-8,-8,-8,23,16,0
2013-01-20,-6,-8,-9,24,16,0
2013-01-21,-7,-7,-8,16,11,0.76
2013-01-22,-8,-8,-9,16,11,0
2013-01-23,-7,-8,-9,11,8,0
2013-01-24,-6,-7,-8,10,5,0
2013-01-25,-7,-9,-10,16,10,0
2013-01-26,-4,-7,-11,26,8,0
2013-01-27,2,-3,-8,35,21,0
2013-01-28,4,2,0,32,16,0
2013-01-29,8,4,2,43,29,0.25
2013-01-30,12,9,6,55,35,7.11
2013-01-31,7,6,4,50,43,0
2013-02-01,6,4,3,40,26,2.03
2013-02-02,3,1,0,35,21,0.25
2013-02-03,2,1,-1,42,23,0
2013-02-04,6,3,0,40,29,0.76
2013-02-05,6,2,-1,47,27,0.51
2013-02-06,1,-1,-3,21,10,0
2013-02-07,1,-1,-3,26,14,0
2013-02-08,-2,-4,-6,16,11,1.02
2013-02-09,-2,-4,-8,16,11,0.25
2013-02-10,-1,-4,-7,19,10,0
2013-02-11,-2,-6,-9,26,13,0
2013-02-12,-2,-3,-4,23,18,0
2013-02-13,-2,-3,-6,11,8,0
2013-02-14,1,-4,-10,14,6,0
2013-02-15,0,-2,-5,14,8,0
2013-02-16,3,1,-1,14,11,0.25
2013-02-17,1,0,-1,13,6,0
2013-02-18,1,-1,-2,11,6,0
2013-02-19,0,-1,-2,27,14,1.02
2013-02-20,-2,-3,-4,21,13,0
2013-02-21,-4,-5,-6,19,13,0.25
2013-02-22,-5,-6,-7,27,18,0
2013-02-23,-3,-5,-7,27,19,5.08
2013-02-24,-1,-3,-5,14,11,2.03
2013-02-25,0,-1,-1,19,11,2.03
2013-02-26,-1,-1,-1,16,8,0
2013-02-27,-1,-1,-2,14,10,0
2013-02-28,0,-1,-1,11,5,0
2013-03-01,1,-1,-2,21,11,0
2013-03-02,3,0,-3,16,10,0
2013-03-03,2,-1,-4,24,13,0
2013-03-04,6,2,-2,13,8,0
2013-03-05,7,2,-3,14,8,0
2013-03-06,9,2,-4,19,11,0
2013-03-07,5,3,1,14,6,0
2013-03-08,4,2,0,24,11,0
2013-03-09,2,0,-1,16,13,2.03
2013-03-10,6,0,-6,26,11,3.05
2013-03-11,-6,-6,-7,21,14,0.51
2013-03-12,-6,-7,-7,24,16,3.05
2013-03-13,-3,-7,-12,16,10,0
2013-03-14,-1,-8,-14,16,11,0.25
2013-03-15,-3,-8,-12,19,10,0
2013-03-16,3,-3,-8,26,14,0
2013-03-17,5,2,-1,26,16,0
2013-03-18,3,0,-2,26,16,4.06
2013-03-19,2,-1,-3,21,10,0.51
2013-03-20,0,-1,-2,23,8,3.05
2013-03-21,1,-1,-3,21,11,0
2013-03-22,-2,-3,-4,24,11,0
2013-03-23,-5,-7,-8,39,27,0
2013-03-24,-3,-7,-11,40,26,0
2013-03-25,-2,-6,-8,42,29,0
2013-03-26,-1,-4,-8,39,23,0
2013-03-27,-1,-4,-7,32,16,0
2013-03-28,1,-2,-4,23,11,0
2013-03-29,1,-1,-2,32,14,0
2013-03-30,1,-1,-3,19,6,0
2013-03-31,-1,-2,-4,21,8,0.25
2013-04-01,2,-2,-6,23,10,0
2013-04-02,1,-2,-4,27,14,0
2013-04-03,-1,-2,-3,29,18,0
2013-04-04,1,-1,-2,23,14,0
2013-04-05,1,0,-1,18,13,0
2013-04-06,1,0,-2,14,8,0.76
2013-04-07,6,1,-4,13,8,0
2013-04-08,7,2,-3,23,11,0
2013-04-09,10,6,2,21,8,0
2013-04-10,11,6,0,32,14,2.03
2013-04-11,17,11,4,35,19,0.51
2013-04-12,14,11,7,32,16,5.08
2013-04-13,13,10,7,40,24,0.25
2013-04-14,18,12,6,26,14,0
2013-04-15,24,17,11,26,16,0
2013-04-16,20,15,10,23,10,0
2013-04-17,21,16,12,21,11,0
2013-04-18,24,18,12,35,21,0
2013-04-19,14,11,8,27,13,0
2013-04-20,10,7,3,26,16,0
2013-04-21,15,9,4,19,11,0
2013-04-22,13,10,7,18,10,0
2013-04-23,17,12,6,32,16,0
2013-04-24,21,14,8,21,11,0
2013-04-25,23,16,9,16,11,0
2013-04-26,23,17,9,32,16,0.76
2013-04-27,6,4,4,26,19,7.11
2013-04-28,8,6,2,23,13,0
2013-04-29,14,11,7,29,13,0
2013-04-30,10,8,5,16,10,0.25
2013-05-01,12,9,6,26,11,0
2013-05-02,11,9,8,14,10,0
2013-05-03,15,12,8,19,10,0
2013-05-04,12,10,7,16,6,2.03
2013-05-05,19,12,6,16,11,0
2013-05-06,20,13,6,23,10,0
2013-05-07,15,13,12,14,11,2.03
2013-05-08,22,16,8,23,11,0
2013-05-09,20,17,13,27,11,0
2013-05-10,17,14,12,27,13,0
2013-05-11,14,12,9,27,10,1.02
2013-05-12,12,9,5,32,16,0.51
2013-05-13,13,8,3,29,18,0.76
2013-05-14,15,11,8,29,18,0
2013-05-15,24,17,9,24,13,2.03
2013-05-16,21,16,10,21,10,0
2013-05-17,21,15,9,37,10,42.93
2013-05-18,16,12,9,26,19,7.87
2013-05-19,18,13,8,18,10,16
2013-05-20,15,12,9,35,21,0
2013-05-21,14,11,7,19,13,0
2013-05-22,9,8,7,32,16,6.1
2013-05-23,11,6,1,24,11,1.02
2013-05-24,9,6,3,19,10,0.76
2013-05-25,12,8,3,27,11,0
2013-05-26,9,7,5,40,27,12.95
2013-05-27,9,8,7,26,19,3.05
2013-05-28,18,12,6,11,5,0
2013-05-29,14,11,8,26,10,1.02
2013-05-30,11,9,6,37,16,0.51
2013-05-31,16,13,10,39,26,4.06
2013-06-01,13,11,10,35,16,0.25
2013-06-02,11,9,7,37,29,2.03
2013-06-03,16,11,6,23,18,0
2013-06-04,17,12,6,19,13,0.51
2013-06-05,18,13,9,16,10,0
2013-06-06,20,13,6,16,6,0
2013-06-07,22,16,10,14,6,0
2013-06-08,23,17,12,19,6,0
2013-06-09,19,16,13,23,8,16
2013-06-10,18,14,11,19,10,0.76
2013-06-11,19,13,7,19,10,0
2013-06-12,23,17,11,23,11,0
2013-06-13,25,20,14,58,18,4.06
2013-06-14,18,14,11,29,16,0
2013-06-15,21,14,8,32,13,0
2013-06-16,21,16,10,18,13,0
2013-06-17,24,18,12,19,10,0
2013-06-18,29,22,14,13,8,0
2013-06-19,32,26,19,23,10,0
2013-06-20,29,23,18,29,11,6.1
2013-06-21,22,19,15,35,21,0
2013-06-22,22,17,11,26,14,0
2013-06-23,21,18,14,35,19,0
2013-06-24,18,14,11,26,14,0
2013-06-25,13,11,9,24,16,0.51
2013-06-26,13,10,8,32,19,0
2013-06-27,15,12,9,19,11,0.25
2013-06-28,17,12,7,26,11,0
2013-06-29,16,13,10,26,14,2.03
2013-06-30,16,11,6,23,14,0
2013-07-01,24,18,12,26,16,0
2013-07-02,23,17,11,23,10,0
2013-07-03,22,19,15,21,11,0.76
2013-07-04,23,19,15,23,11,0
2013-07-05,23,19,14,16,10,0
2013-07-06,23,19,14,14,8,0
2013-07-07,23,17,11,18,8,0
2013-07-08,24,18,11,16,8,0
2013-07-09,26,19,12,14,6,0
2013-07-10,23,18,13,29,10,0
2013-07-11,18,13,9,19,11,0
2013-07-12,21,16,9,16,11,0
2013-07-13,22,16,9,13,6,0
2013-07-14,23,16,9,24,11,0
2013-07-15,23,17,10,19,11,0
2013-07-16,24,17,10,14,6,0
2013-07-17,25,19,12,14,8,0
2013-07-18,26,20,14,16,10,0
2013-07-19,26,19,13,23,8,0
2013-07-20,23,18,12,13,8,0
2013-07-21,27,20,13,19,8,0
2013-07-22,30,22,13,13,6,0
2013-07-23,31,23,15,14,6,0
2013-07-24,29,22,16,26,8,7.11
2013-07-25,27,21,15,14,6,0
2013-07-26,30,23,16,13,10,0.51
2013-07-27,34,26,17,26,8,0
2013-07-28,31,26,19,42,18,6.1
2013-07-29,23,19,16,23,11,0.51
2013-07-30,24,18,13,32,19,0
2013-07-31,22,19,16,32,18,0
2013-08-01,29,22,14,16,10,0
2013-08-02,33,26,18,23,11,0
2013-08-03,31,25,19,26,14,0
2013-08-04,27,22,18,19,8,0
2013-08-05,29,22,14,16,8,0
2013-08-06,31,23,16,45,10,12.95
2013-08-07,25,20,15,16,8,0
2013-08-08,22,19,16,21,13,0
2013-08-09,19,17,14,14,6,0
2013-08-10,24,18,12,32,13,0
2013-08-11,19,14,10,26,14,0
2013-08-12,23,17,11,29,14,6.1
2013-08-13,17,13,9,32,18,0.51
2013-08-14,19,13,7,21,14,0
2013-08-15,22,16,8,19,11,0
2013-08-16,27,19,11,16,11,0
2013-08-17,27,20,13,18,10,0
2013-08-18,23,19,16,29,14,0.76
2013-08-19,21,17,13,29,14,1.02
2013-08-20,20,16,11,27,14,0
2013-08-21,21,16,9,13,6,0
2013-08-22,23,17,11,14,6,0
2013-08-23,20,16,12,21,8,0
2013-08-24,24,18,11,24,10,0
2013-08-25,21,17,12,26,11,0
2013-08-26,20,17,13,26,14,0
2013-08-27,21,15,9,23,10,0
2013-08-28,21,15,9,16,8,1.02
2013-08-29,23,16,7,14,10,0
2013-08-30,24,17,9,14,10,0
2013-08-31,23,17,12,29,14,0
2013-09-01,17,12,8,24,14,0
2013-09-02,18,15,12,40,21,0
2013-09-03,22,18,14,29,19,0
2013-09-04,25,18,11,14,8,0
2013-09-05,28,20,13,19,6,0
2013-09-06,28,22,16,19,11,0
2013-09-07,28,22,16,21,11,0
2013-09-08,21,18,14,21,8,2.03
2013-09-09,16,13,11,29,13,1.02
2013-09-10,15,12,9,35,19,0.51
2013-09-11,13,11,9,32,21,4.06
2013-09-12,14,11,9,16,11,10.92
2013-09-13,17,13,9,19,13,4.06
2013-09-14,17,13,9,21,14,0.25
2013-09-15,16,13,11,26,13,0
2013-09-16,16,12,9,32,18,2.03
2013-09-17,13,9,4,32,16,0.76
2013-09-18,13,10,7,26,18,0.25
2013-09-19,13,10,6,29,19,0
2013-09-20,13,11,9,29,18,0.76
2013-09-21,16,12,8,21,14,0
2013-09-22,17,12,8,21,14,0
2013-09-23,17,14,11,24,16,0
2013-09-24,17,14,12,19,13,0
2013-09-25,17,12,8,14,5,0
2013-09-26,16,12,9,24,14,0.76
2013-09-27,12,8,3,14,8,0
2013-09-28,14,8,2,19,8,0
2013-09-29,14,9,3,29,16,0
2013-09-30,13,8,3,27,16,0
2013-10-01,12,7,1,24,11,0
2013-10-02,13,7,1,29,11,0
